gw,entry_id,element,slot,multiplier,is_captain,is_vice,active_chip,observed_utc
2,7133,82,1,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,229,2,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,4,3,2,1,0,,2026-08-29T14:36:55.087406+00:00
2,7133,391,4,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,154,5,1,0,1,,2026-08-29T14:36:55.087406+00:00
2,7133,427,6,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,398,7,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,12,8,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,399,9,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,165,10,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,106,11,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,109,12,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,316,13,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,115,14,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,7133,305,15,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,496,1,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,115,2,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,8,3,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,4,4,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,236,5,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,367,6,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,368,7,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,397,8,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,346,9,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,165,10,1,0,1,,2026-08-29T14:36:55.087406+00:00
2,12315,411,11,2,1,0,,2026-08-29T14:36:55.087406+00:00
2,12315,250,12,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,335,13,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,532,14,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,12315,304,15,0,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,496,1,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,8,2,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,10,3,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,423,4,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,237,5,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,427,6,1,0,1,,2026-08-29T14:36:55.087406+00:00
2,15748,154,7,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,398,8,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,411,9,2,1,0,,2026-08-29T14:36:55.087406+00:00
2,15748,346,10,1,0,0,,2026-08-29T14:36:55.087406+00:00
2,15748,165,11,1,0,0,,2026-08-29T14:36:55.087406+00:00
